concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Create Purchase Requisition,start,Kim Passa,2011-01-01 00:00:00+00:00,Create Purchase Requisition,Kim Passa,1,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,complete,Kim Passa,2011-01-01 00:37:00+00:00,Create Purchase Requisition,Kim Passa,1,Variant 2,2,Fluxicon Disco
Create Request for Quotation,start,Kim Passa,2011-01-01 05:37:00+00:00,Create Request for Quotation,Kim Passa,1,Variant 2,2,Fluxicon Disco
Create Request for Quotation,complete,Kim Passa,2011-01-01 05:45:00+00:00,Create Request for Quotation,Kim Passa,1,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-01 06:41:00+00:00,Analyze Request for Quotation,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 06:55:00+00:00,Analyze Request for Quotation,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Send Request for Quotation to Supplier,start,Karel de Groot,2011-01-01 11:43:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-01 12:09:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Create Quotation comparison Map,start,Magdalena Predutta,2011-01-01 12:32:00+00:00,Create Quotation comparison Map,Magdalena Predutta,1,Variant 2,2,Fluxicon Disco
Create Quotation comparison Map,complete,Magdalena Predutta,2011-01-01 16:03:00+00:00,Create Quotation comparison Map,Magdalena Predutta,1,Variant 2,2,Fluxicon Disco
Analyze Quotation Comparison Map,start,Immanuel Karagianni,2011-01-01 22:44:00+00:00,Analyze Quotation Comparison Map,Immanuel Karagianni,1,Variant 2,2,Fluxicon Disco
Analyze Quotation Comparison Map,complete,Immanuel Karagianni,2011-01-01 23:13:00+00:00,Analyze Quotation Comparison Map,Immanuel Karagianni,1,Variant 2,2,Fluxicon Disco
Choose best option,start,Tesca Lobes,2011-01-01 23:13:00+00:00,Choose best option,Tesca Lobes,1,Variant 2,2,Fluxicon Disco
Choose best option,complete,Tesca Lobes,2011-01-01 23:13:00+00:00,Choose best option,Tesca Lobes,1,Variant 2,2,Fluxicon Disco
Settle Conditions With Supplier,start,Francois de Perrier,2011-01-02 01:22:00+00:00,Settle Conditions With Supplier,Francois de Perrier,1,Variant 2,2,Fluxicon Disco
Settle Conditions With Supplier,complete,Francois de Perrier,2011-01-02 09:20:00+00:00,Settle Conditions With Supplier,Francois de Perrier,1,Variant 2,2,Fluxicon Disco
Create Purchase Order,start,Karel de Groot,2011-01-02 09:58:00+00:00,Create Purchase Order,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Create Purchase Order,complete,Karel de Groot,2011-01-02 10:10:00+00:00,Create Purchase Order,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Confirm Purchase Order,start,Sean Manney,2011-01-02 14:09:00+00:00,Confirm Purchase Order,Sean Manney,1,Variant 2,2,Fluxicon Disco
Confirm Purchase Order,complete,Sean Manney,2011-01-02 14:43:00+00:00,Confirm Purchase Order,Sean Manney,1,Variant 2,2,Fluxicon Disco
Deliver Goods Services,start,Sean Manney,2011-01-02 20:49:00+00:00,Deliver Goods Services,Sean Manney,1,Variant 2,2,Fluxicon Disco
Deliver Goods Services,complete,Sean Manney,2011-01-03 03:37:00+00:00,Deliver Goods Services,Sean Manney,1,Variant 2,2,Fluxicon Disco
Release Purchase Order,start,Elvira Lores,2011-01-03 11:20:00+00:00,Release Purchase Order,Elvira Lores,1,Variant 2,2,Fluxicon Disco
Release Purchase Order,complete,Elvira Lores,2011-01-03 11:21:00+00:00,Release Purchase Order,Elvira Lores,1,Variant 2,2,Fluxicon Disco
Approve Purchase Order for payment,start,Karel de Groot,2011-01-03 19:09:00+00:00,Approve Purchase Order for payment,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Approve Purchase Order for payment,complete,Karel de Groot,2011-01-03 19:10:00+00:00,Approve Purchase Order for payment,Karel de Groot,1,Variant 2,2,Fluxicon Disco
Send Invoice,start,Kiu Kan,2011-01-04 00:54:00+00:00,Send Invoice,Kiu Kan,1,Variant 2,2,Fluxicon Disco
Send Invoice,complete,Kiu Kan,2011-01-04 00:54:00+00:00,Send Invoice,Kiu Kan,1,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,start,Karalda Nimwada,2011-01-04 15:08:00+00:00,Release Supplier's Invoice,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,complete,Karalda Nimwada,2011-01-04 15:13:00+00:00,Release Supplier's Invoice,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco
